transaction_id,account_id,transaction_date,amount,transaction_type,branch_id,description
T302249,A67360,2024-01-31,401.6,debit,B4,Transaction Description
T618183,A12249,2024-01-31,441.63,credit,B1,Transaction Description
T241048,A21610,2024-01-31,134.51,debit,B6,Transaction Description
T515144,A98873,2024-01-31,463.21,debit,B2,Transaction Description
T252230,A40005,2024-01-31,552.44,credit,B7,Transaction Description
T317814,A64271,2024-01-31,128.74,debit,B2,Transaction Description
T908998,A38178,2024-01-31,151.28,credit,B9,Transaction Description
T423480,A26458,2024-01-31,926.12,credit,B10,Transaction Description
T249062,A28499,2024-01-31,180.48,debit,B9,Transaction Description
T471863,A31142,2024-01-31,223.43,credit,B9,Transaction Description
T613201,A20555,2024-01-31,243.93,debit,B4,Transaction Description
T892261,A34802,2024-01-31,595.7,credit,B6,Transaction Description
T759796,A89007,2024-01-31,332.68,credit,B6,Transaction Description
T616291,A60221,2024-01-31,512.95,credit,B2,Transaction Description
T638099,A27536,2024-01-31,217.05,debit,B1,Transaction Description
T505608,A63171,2024-01-31,253.46,credit,B10,Transaction Description
T979283,A77552,2024-01-31,389.95,credit,B4,Transaction Description
T887695,A74688,2024-01-31,837.74,credit,B4,Transaction Description
T850905,A43361,2024-01-31,303.78,debit,B3,Transaction Description
T912846,A19254,2024-01-31,240.45,credit,B3,Transaction Description
T649875,A53860,2024-01-31,164.25,debit,B3,Transaction Description
T683842,A16269,2024-01-31,889.13,credit,B10,Transaction Description
T391541,A63650,2024-01-31,907.39,debit,B1,Transaction Description
T103178,A29076,2024-01-31,629.09,debit,B1,Transaction Description
T400227,A38830,2024-01-31,616.67,credit,B5,Transaction Description
T140866,A88924,2024-01-31,239.82,debit,B4,Transaction Description
T202497,A56667,2024-01-31,345.6,debit,B1,Transaction Description
T630226,A34044,2024-01-31,845.69,credit,B5,Transaction Description
T356724,A10119,2024-01-31,367.96,credit,B4,Transaction Description
T377858,A71282,2024-01-31,113.88,debit,B10,Transaction Description
T759595,A10068,2024-01-31,779.89,debit,B10,Transaction Description
T943201,A58085,2024-01-31,635.1,debit,B1,Transaction Description
T273626,A31867,2024-01-31,313.51,debit,B2,Transaction Description
T480301,A11233,2024-01-31,128.99,credit,B1,Transaction Description
T533952,A35189,2024-01-31,947.56,credit,B9,Transaction Description
T708550,A13112,2024-01-31,894.39,debit,B9,Transaction Description
T154126,A13715,2024-01-31,530.76,debit,B7,Transaction Description
T701430,A30929,2024-01-31,399.29,credit,B6,Transaction Description
T869409,A50486,2024-01-31,547.51,credit,B4,Transaction Description
T191917,A71068,2024-01-31,935.9,credit,B10,Transaction Description
T124029,A25070,2024-01-31,860.92,credit,B3,Transaction Description
T112731,A93631,2024-01-31,985.49,debit,B9,Transaction Description
T568944,A33717,2024-01-31,356.04,credit,B7,Transaction Description
T741848,A34680,2024-01-31,174.24,credit,B1,Transaction Description
T525478,A83924,2024-01-31,667.32,debit,B3,Transaction Description
T829039,A50330,2024-01-31,717.03,debit,B9,Transaction Description
T978317,A93813,2024-01-31,297.95,credit,B2,Transaction Description
T338605,A14462,2024-01-31,852.25,credit,B8,Transaction Description
T163038,A67705,2024-01-31,771.52,credit,B10,Transaction Description
T648318,A31502,2024-01-31,276.88,debit,B5,Transaction Description
T270553,A47841,2024-01-31,485.13,debit,B3,Transaction Description
T652126,A51894,2024-01-31,337.82,debit,B6,Transaction Description
T121362,A71864,2024-01-31,950.13,credit,B5,Transaction Description
T502062,A82623,2024-01-31,307.49,debit,B5,Transaction Description
T386683,A53655,2024-01-31,295.02,credit,B8,Transaction Description
T868558,A61065,2024-01-31,159.54,credit,B5,Transaction Description
T590642,A49117,2024-01-31,279.27,debit,B3,Transaction Description
T272592,A82608,2024-01-31,546.35,debit,B2,Transaction Description
